"Urea Fertilization, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"South Carolina","0.004068707369439656","0.0016775257794308873","0.0014344832925096012","0.0017496177084278326","0.0028243106232423115","0.004033604765792736","0.003212839577852369","0.003979909038676706","0.006041977441107987","0.0100062658078563","0.011100221113429495","0.009734974386888024","0.008289212011249207","0.008531264568024433","0.006321463727357948","0.006455436934893707","0.006619782636305906","0.006828265384499079","0.00455632380779582","0.0032475816021046906","0.004442779884483957","0.004192201155160423","0.003579441047506729","0.004870751700988841","0.004674617799147238","0.007853695969034444","0.012110958420272764","0.01320473942362938","0.015392265192992695","0.017740087441784957","0.020087909690577867","0.022435731939370117","0.024783554188163033"
"New Mexico","0.009806027155341863","0.011439506365478242","0.007535019625631256","0.0068278702107714175","0.008061118267864162","0.007250155251141552","0.00755122041791406","0.005020108742326651","0.006189260153013397","0.008579623453990142","0.006199665063957181","0.007218524055762195","0.009838394145574404","0.0075152955335813015","0.008507612688620764","0.012077695969034444","0.008517051619341376","0.010248604433154918","0.01153516901025129","0.008870947654903384","0.005954230245849588","0.004092226193716169","0.0030885993528682455","0.004358536030723639","0.006869334180047779","0.00864859923190904","0.00896968254256252","0.008751394030663136","0.012098239517497634","0.013480893304234116","0.014863547090970599","0.01624620087770708","0.01762885466444356"
"Vermont","0.00271531319362545","0.0026022110133357523","0.00278666134446158","0.0029861056578668844","0.002952968278448094","0.0020780882397411476","0.0024526849919864527","0.0036821130363784813","0.005256679427862953","0.004878282621186006","0.004210726420514681","0.005067214248994527","0.0034020040521334175","0.003378390758716623","0.004067050833106535","0.003457209954942696","0.0035058589010856086","0.00326577955184614","0.003471130182346004","0.0058992638422691954","0.005375896821796848","0.004248490126704769","0.0047711107079137565","0.007111535758565424","0.01085202007922828","0.010296566814841694","0.009370660134869514","0.00983812497505213","0.011951428383249033","0.012684401981586728","0.013417375579924591","0.014150349178262292","0.014883322776600153"
"North Carolina","0.007439222595179777","0.006506623242311531","0.007208873567389398","0.0073100925942725815","0.009679474432247726","0.013914164081163631","0.010664111645347606","0.01109202358704527","0.010708763615470683","0.00881380446944268","0.008465919864525688","0.010734559012972876","0.01131642771175421","0.011583996250264598","0.011704789016904048","0.011188437993286764","0.012007931174211497","0.010665567268438716","0.009024054189724514","0.007404793250476277","0.007948770510145453","0.007020832078381565","0.0064067254528410306","0.007303977380628383","0.008433940064713175","0.008637103268922558","0.008833915751912667","0.009408752354168546","0.01011611623433782","0.01064672451714507","0.01117733279995248","0.011707941082759729","0.012238549365567139"
"Arizona","0.013263406090296047","0.011917194230245851","0.013081672744866794","0.014083396897396353","0.01630892618464423","0.017834267501285195","0.017748227403308236","0.01597920759623817","0.012464705434092355","0.009257160119749615","0.009881450784722853","0.009162439505276846","0.009463500680395536","0.011502671625994136","0.01138116302277057","0.010704638906528775","0.009823835253560736","0.011134984426502164","0.011439575554144365","0.01194389706371526","0.01025485669358009","0.012307021802896972","0.008099121473283136","0.004430866128398198","0.005262855846865645","0.007680460854576795","0.007071410323868274","0.00725359911699777","0.008981982819077758","0.009774432210427541","0.010566881601777323","0.011359330993127104","0.012151780384476887"
"Utah","0.005099367020472346","0.0024492707974235685","0.0027261545253863136","0.0034793636336145637","0.003163490761740603","0.002775726874111706","0.0036241728507060995","0.004529283014303427","0.005531941213825636","0.006654422208110315","0.006862020139707882","0.004984637575977502","0.0023980658622879433","0.0022425363936012578","0.004348970697632224","0.0043061149717257855","0.004289346034050017","0.007155039462941123","0.007028571895128369","0.006573347727478907","0.007863436934893706","0.011377682300644109","0.012620020684024314","0.013471158365841122","0.01528036880462064","0.015683709455985972","0.01108027748041973","0.012622625105083354","0.012139744396321893","0.011677207941395026","0.011214671486468162","0.010752135031541448","0.010289598576614583"
"Alabama","0.005745135444071488","0.0035141628715715627","0.0040857211285493964","0.004554431763887629","0.004226412289455381","0.008329759230699446","0.012887827391212315","0.010701287247875653","0.009436647494632435","0.010152732891832229","0.009992607699053496","0.00984370703680184","0.00877323196951828","0.00837182860080438","0.009135344159182315","0.009950481115243883","0.009224169100970698","0.00958555614019172","0.007876340621125527","0.0056970333545011955","0.006074537361274911","0.00616767062808068","0.006335397260273974","0.00691650089207415","0.006710080498351932","0.006852372312437631","0.0073091412501134","0.007480258393056937","0.007436838769474253","0.007579711903954233","0.007722585038434214","0.007865458172914154","0.008008331307394137"
"Maryland","0.0045533313979860286","0.006281460703377786","0.0066705218784964765","0.006273711572772083","0.006990475551120385","0.00577435967220055","0.006663540475974477","0.00819496374247785","0.007681227252109227","0.007988035078169886","0.009553573679276664","0.008213225558680337","0.008213399860896914","0.007534249236445009","0.010193971997943694","0.006694220327194654","0.005148256796395415","0.005523180864253531","0.0070509437842087765","0.005885666938824882","0.004237070005140767","0.005873395264447066","0.00683479573014001","0.007934365962079288","0.006927915691433065","0.004840747769814631","0.0058683405001663195","0.009866957488886864","0.006693460514612669","0.006818263938189024","0.0069430673617653805","0.0070678707853417","0.007192674208918058"
"Alaska","0.004000102815325531","0.0038722794157670334","0.00379268716925217","0.004121116453476066","0.004089915026157428","0.0038629429374943303","0.0034095376334331248","0.0034095376334331248","0.0034458057999939523","0.0034498160815265052","0.003454346608606247","0.0036437545737699963","0.003596480087090629","0.003596480087090629","0.003596480087090629","0.003596480087090629","0.003596480087090629","0.003596480087090629","0.0035074582237140527","0.003411183525356074","0.003589176691160906","0.0037633205721370466","0.003886763796909492","0.00385892733375669","0.003792888082494179","0.0037603095346094534","0.0038070611146390878","0.0038124169826725942","0.0037574149251621623","0.0037451701831171203","0.0037329254410720784","0.0037206806990270356","0.003708435956981993"
"Delaware","0.0003076513955668451","0.00014639922586107837","0.00019455719858477733","0.00016128410293628475","0.0002699808279657686","0.00023078411805618561","0.0003630688560283045","0.000280755632163053","0.0013126566875321297","0.0022468686685415346","0.00019289933170038405","0.00016306970274275","0.00020770836735311017","0.00022774114729807375","0.0002755930932293084","0.00038828945538117265","0.00037471783241101934","0.0006505717136895583","0.00102877825153467","0.0010448606247543016","0.0010353125888294173","0.001008865221204149","0.0011913064199098856","0.002404837037709033","0.002240430130938341","0.002580612174544135","0.0024528246998699686","0.002475272962593365","0.0024840656437306696","0.002497521110319577","0.0025109765769084887","0.0025244320434973963","0.0025378875100863078"
