"Field Burning of Agricultural Residues, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Arizona","0.006136453175698985","0.0061791948854485294","0.006050957795279594","0.007025978662302041","0.005956323828477303","0.005800439477650578","0.006614119150936394","0.006837339424577281","0.009056224122158677","0.007103201830242284","0.007519948931116989","0.005796501069367203","0.0066448855524117055","0.007495868753698973","0.0074347185806937464","0.0071772754312208475","0.0063429774725210246","0.006040650080546052","0.006078876889634083","0.005843685212418035","0.005427996205694636","0.0058686653945682074","0.0047860586463458026","0.0045726352878164706","0.0063017912144580765","0.0052569882571636365","0.005393515340917207","0.005370706052093151","0.005407140720990906","0.005411461205866127","0.005427138577778772","0.005435730559038774","0.005438405386805889"
"Maryland","0.003521348257668038","0.003641581894641451","0.00482248827984549","0.003699106986000979","0.003744633389370207","0.003821840758189159","0.004378251522943312","0.004863865590643168","0.0036595697198140895","0.0034626666265437896","0.0049861928231647815","0.004057096325922514","0.002420090984011714","0.0030444320969379704","0.004129460257028882","0.0037431076844555333","0.00401378423738499","0.0034744434506307313","0.003910396704248215","0.004309579563915583","0.0032307391768522714","0.003790629706965343","0.004361877075041131","0.004933057402484322","0.0048023193014543","0.0047253992816313605","0.004634579733273212","0.004600601427711041","0.00459156132236369","0.004587549183084506","0.004586520728020206","0.004585827888513375","0.004562379501446311"
"Oregon","0.004822968222442853","0.004234238676234595","0.0044826855705278135","0.0056265967085246575","0.004708871154270729","0.004555632001485508","0.005520525834174968","0.005042743040626369","0.005430696750179456","0.0026606489209206217","0.004392110765215209","0.0028659526770537084","0.0030521930796203476","0.004075600272617102","0.0035634673596335173","0.003924850158911667","0.0032192986458841276","0.003240532033733337","0.003537296050859363","0.0033255953641064704","0.0043711270385155985","0.004592740651884569","0.00448401517318739","0.0038835089685404062","0.0035745540530297396","0.003988043754268359","0.003950546484731399","0.003909462313711778","0.00390711005084222","0.003899016083604657","0.003897423258503164","0.00389445423024817","0.003889747311941436"
"Washington","0.025205456507997732","0.0132293857677757","0","0.007807349135384118","0","0","0","0","0","0.015685138640607856","0","0","0","0.008766381808032271","0.005376340347529867","0.027170550210290297","0.008047000640525367","0","0.004248029730592154","0.00810923464529846","0.0061485186072474055","0.00788185996139845","0.004152914831312479","0.0023329330244856016","0.0036033319311583496","0.0033142653213546064","0.003356523721578628","0.0032928115479226925","0.0033080367660363245","0.0032971755391939103","0.0033008173286945457","0.003298812021942172","0.003299326773887859"
"New Mexico","0.003904019454881601","0.0039749270602094594","0.004607395732024081","0.004206333151853487","0.0036420783874159227","0.0030125945599014247","0.004303380514604769","0.004595398933161576","0.004280285579921765","0.0047105152036785464","0.003630863645481499","0.004359567980215274","0.003522572800812879","0.003948113739518107","0.0035362923562467247","0.003998538756594717","0.003692336625548071","0.003478218405311082","0.003449859378429593","0.002964078026221474","0.0031564150045239013","0.0027338910127058256","0.0030093030671609817","0.004139546553924308","0.002790832141592015","0.0033302747110170324","0.0033427596928763785","0.0033059037621750815","0.003311501896417513","0.003303166510859984","0.00330331228761971","0.003299959380939784","0.0032942227936654115"
"New York","0.00159939193531708","0.0015491685417299069","0.00163850797387229","0.0017611698468993962","0.00183507314308384","0.001673658963119096","0.0017531219739639124","0.0018218282832379838","0.0016981810480910893","0.0017664551746286972","0.0016112569705722946","0.0015203668417269837","0.0014798439130828676","0.0016325336567615412","0.001560332499827503","0.0015035895025436593","0.0017701190699330347","0.0016937460000901628","0.0019786952104925547","0.002125340347821124","0.002430747300320614","0.002169613184344655","0.002148573747410706","0.0022387521941284396","0.0020961452455072163","0.0021573996322440084","0.0021494118960455723","0.00213145510399145","0.0021326572944824485","0.002129728626633191","0.0021301048042914996","0.002129473271440736","0.002115481887132295"
"Delaware","0.0007446528508756762","0.0009097128093024278","0.001053099374588945","0.0009209598876712544","0.0009444019726219013","0.0006930658095263326","0.001193052665415206","0.0013659916563765434","0.0009183787969867858","0.0009178867620446221","0.0013809940569443776","0.001252448327853322","0.0009819866071825419","0.0008793438610772328","0.001373838004357447","0.001143674458807228","0.0012160493649745802","0.0009874873517015479","0.0010473889521977371","0.001115433592682437","0.000866710967241884","0.0013118190966341112","0.0015026590713624237","0.001681931266318256","0.0017322209506845897","0.001659906851132787","0.0016372855765492626","0.0016306748375240268","0.001629244605567123","0.0016292925989894993","0.0016298009493264432","0.001630388018297444","0.001622713800823788"
"Utah","0.0011105577279308606","0.0009916413064486214","0.0012092793276981075","0.001211405705874185","0.0009162464511650339","0.0010592551214613827","0.0010567482273655376","0.0010880185449515512","0.0012275435715206721","0.0008721838727269181","0.000905794204801649","0.001113140220100469","0.0007267420525325546","0.0007536197063130976","0.0008060211831821881","0.0009150532671324398","0.0006896150964019009","0.0008864650105299699","0.0009886561048670721","0.0008508934394283142","0.0009458126150943792","0.0008578309779362549","0.0009357312191762764","0.0013496151480998544","0.0010508609238269971","0.0010888514189138399","0.0011131632800897482","0.0010946104812284965","0.0011021831673667477","0.0010999516992249673","0.00110256949544596","0.001103044069421362","0.0011020992658299978"
"Wyoming","0.0006744400113160467","0.0007442060530370672","0.000616349146681036","0.0008397570774892988","0.0005359225241361692","0.0009420487651816805","0.0005529813476647224","0.0009152862994644203","0.0006628276108251848","0.0007588975912175682","0.0006254194676083458","0.0006443502395512318","0.0005065630427958787","0.0007022274989709385","0.0005773334146148482","0.0007224980964926878","0.000528048031653156","0.0005814092762339873","0.0005992246533577332","0.0007224876517806912","0.0005840223457849817","0.0007177974852459254","0.0006508247592126196","0.0006552363736848477","0.0009279387365570194","0.0007372937379935524","0.0007497710913287576","0.0007431853821424229","0.0007487723222448161","0.0007497179593505272","0.0007527649899823001","0.0007546697685052378","0.0007551399785792909"
"New Jersey","0.0008700843010584069","0.0010065051221580185","0.0009553895025228305","0.0007773854928656332","0.0008416400566705176","0.0006873844062187584","0.0009522144923658594","0.001083837577049301","0.0008977045407090597","0.0004999387118354092","0.0008313175641228296","0.0007302278799734426","0.0005747344920324934","0.0007068702870724952","0.000558649593403204","0.0005388038885590703","0.0006391150027476018","0.0009103062335610487","0.0006960645132875758","0.0006139312486173997","0.0005936003171584231","0.0005907529763819573","0.0007482561681641861","0.0007471874787064769","0.0006934703735179751","0.0007294630497815781","0.0007138784645047006","0.0007046892554469909","0.0007011190528729275","0.0006979935019115585","0.0006958152375039414","0.0006937378596117734","0.0006883351883682532"
