"Enteric Fermentation, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Utah","1.753673476028758","1.7635724350717403","1.7858037078018998","1.8938421616425263","1.8864605193407278","1.9604664795337179","1.9960313493754762","2.017117408420483","1.9973790144202088","1.9493046047375002","1.9838092346448595","1.9880715409706489","1.991649868745009","1.9231675813633837","1.9095517826760406","1.9155603416838178","1.8324757017207762","1.9200101339977085","1.9922659570773125","1.9113402446620609","1.8934695464393645","1.9281055431580953","1.9843422979011005","1.9845314017289528","1.9642433958106684","1.932581938176804","1.9956432007267426","1.9884058098749322","1.9621899116688748","2.0037930659540546","2.0626854131093624","2.010210537645942","1.9486947681555695"
"Indiana","2.3971950758907","2.3073521020801917","2.2964485052133936","2.253465145492209","2.2854576149438732","2.309624199491925","2.1880551791704397","2.187735308791751","2.04977241591756","2.0525890450427733","1.9162832215296188","1.8180151757458658","1.8451283253345871","1.8389547540906963","1.796454126030072","1.860430075559993","1.8722557869680418","1.949736648036787","1.9435463405427362","1.8821591760261502","1.9565273366846463","1.9293382146218103","1.8858100883056346","1.83492822713032","1.8767468281977844","1.970075955942825","2.0241152270961056","2.070418931782669","2.025808029434587","2.017398857933684","1.9618291593372459","2.018337412293056","1.9448877260151884"
"North Carolina","1.8120833747520197","1.9161541505168818","2.028432046063134","2.116183709969045","2.2292800424860695","2.37437158824603","2.4697207849992777","2.4493426965510983","2.2503825648483673","2.274833426012257","2.215250441139119","2.238450957108824","2.2425407957265087","2.1720899311554396","2.1331803494762105","2.1167786543739355","2.052664894334366","2.0854707128887515","2.015028866076361","2.035462505852893","1.9425638676082848","1.920037082781014","1.9283772209114354","1.9358164155215658","1.8830843133864306","1.9204907425138948","1.933800114286896","1.970046146382638","1.933012121313025","1.9228028710597447","1.9252177146512537","1.8835831496659206","1.85086167147402"
"Mississippi","2.3860189371278357","2.380095978341864","2.4397013032147825","2.5807879640823357","2.5481909299867507","2.4663647512122924","2.5373933279062726","2.3709934623780864","2.2769980878237877","2.1933414167199565","2.065029388069933","2.0806519338138725","2.092275909565692","2.0513664833898257","1.9929989620296624","2.063776092325095","1.8632462303004849","1.8285610629556657","1.837421947942762","1.8316972544352979","1.8649326012030507","1.7796206030740236","1.8226469826903986","1.7902258801950042","1.7755520653577577","1.7429161352382654","1.8426306935787806","1.7361978203685908","1.7997690467659708","1.7227708136722484","1.743762633202716","1.7504062097657522","1.7181782369505065"
"Louisiana","2.075874206600072","1.9861991155984264","1.8968352547174003","1.9820114478882342","1.9123831397964959","1.9560544544879013","1.951492460397552","1.930086645722357","1.8983528858243468","1.8500178913765277","1.8356354496356366","1.7553544782117625","1.7372850087149705","1.7611435352685088","1.7908553425092382","1.7893724989785607","1.7152378213978792","1.7646677145315068","1.8265970123201132","1.8227083467730703","1.7449991570795427","1.631594890042935","1.6002785708680525","1.5965199553852614","1.5903425104308524","1.6183165343355574","1.5625040541048028","1.5760327164714267","1.6502360143241261","1.596743828390584","1.5737947372952588","1.5457867363047144","1.5501976818049847"
"Nevada","1.0312189066863366","1.0595004536009691","1.1011928655425445","1.0623298932885397","1.035809519222893","1.0594313642098725","1.0370459344956013","1.0759848614224827","1.0613039269419724","1.0363988715299353","1.0574435964388056","1.0877376859544388","1.049126091357097","1.0706607661217675","1.0623446841589101","1.0458756140749161","1.0493037399795462","1.0343630229894072","1.0224174198881086","1.0234648589724273","1.036078712691486","1.0388917540750278","1.0475746688646765","1.0162758236837761","0.9932042989181713","0.9558269490845663","0.9727420668907805","0.9985358323734513","1.062321518334171","1.074469498170198","1.0936654964639658","1.078948862903173","1.0531537780236717"
"West Virginia","0.8800775530680307","0.9206722977463226","0.9481335271165051","0.9348319175929806","0.927514091828309","0.9428102008690628","0.912356813308824","0.8525914300337156","0.8381709695132781","0.8319075015656333","0.7906042585242793","0.7637455663901661","0.794355047982465","0.7758460330789403","0.7457995874038796","0.7830705041652765","0.8024139912227062","0.8394340112309396","0.8038003909927696","0.8115376470287894","0.7512623757603968","0.7559466540572539","0.7633149907351484","0.7803579885567471","0.7500251157669482","0.7236263776519248","0.7711799574847081","0.7893870067809132","0.7719995479318886","0.7477379633036894","0.7558790424284079","0.7206252206736277","0.707837378128564"
"Vermont","0.7951868012687388","0.762213605245929","0.7550765321595827","0.7921171591625434","0.753799380771821","0.7575326256745234","0.7671547567927198","0.757899316793936","0.7833125378916035","0.7987917726287351","0.7860508279105249","0.7765351200387762","0.764729273968911","0.7618548817425984","0.7347269992134865","0.7197799410962483","0.7189169402657846","0.7235521320935563","0.7251356724277854","0.7216823128273638","0.6985434831764663","0.7181672006778798","0.7020660066869554","0.7259462709097765","0.7211157286292712","0.7191469883561729","0.7293623506579282","0.7318680862583157","0.7310197455679404","0.7202713168219788","0.706840288660917","0.6921978241309589","0.69684929281429"
"South Carolina","1.0457328513210502","0.9280544367584806","0.9809904290439216","1.029517819380583","0.9982672631891609","0.9995826183502382","1.0068039256622643","0.9875920810989268","0.938434511274268","0.934672051236199","0.9081306727176718","0.8795654848610289","0.8406045508391978","0.8503105584770406","0.8544566508005373","0.8781976137964073","0.8315927737568627","0.8207800581030305","0.7961074062836141","0.7741247389181869","0.7710499227915508","0.7802041591414859","0.7413778681556971","0.6896884445306098","0.7002075281984499","0.6953168370045936","0.7113893650094367","0.6993794246419166","0.705897144908032","0.7376670079955865","0.6894918220435327","0.6576253055805934","0.6197303696592511"
"Maryland","0.70471384159863","0.6994719901014544","0.681819660848675","0.7109635755472795","0.6860563932477863","0.6953830904111684","0.6711311944008116","0.6123017259513419","0.5932335993931317","0.5933821927769126","0.582537639670825","0.5408374339928752","0.5587119719796836","0.5485323277208255","0.5165205970633598","0.5178446095960583","0.5195312606697714","0.49850905158357306","0.4687860795202435","0.4661208756095391","0.46277670530476395","0.4680298901328739","0.4985086651350261","0.44958090547896024","0.4273515574548228","0.4453722411389594","0.4549573970982056","0.44676275657315695","0.4627715373089383","0.46030778576104353","0.4311673903370161","0.42272717164265855","0.4095135719218572"
