"Livestock, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Virginia","3.5591284883245944","3.58371041707067","3.634638915323974","3.6504140514039065","3.5998951535410595","3.662908993958949","3.6946790911055505","3.7087938114573955","3.6130698966875157","3.5930643431215668","3.4509481960616992","3.539302692345594","3.5886516816153935","3.5522685981672044","3.4199302799320064","3.6198957163708254","3.6255514266382725","3.5725923478438837","3.5113166568005303","3.343475290401249","3.471747006036604","3.4041301564754702","3.328782594386223","3.521366968236517","3.3499027685757037","3.34794988445178","3.3353550084059838","3.3533076215508744","3.3505308421465916","3.2465999132512784","3.1890405202615173","3.054514724536212","3.0504521792479773"
"Wyoming","2.6116365051882795","2.5666021003912403","2.8888095384171346","2.9983671524360473","3.2644672460034667","3.2254691946330634","3.2572882090335","3.452882900914428","3.541913611732884","3.3618465662375083","3.3376842937549425","3.280384663958973","3.182203871150837","2.8695132857135754","2.9142579335535497","2.868508911738698","3.0335360347327502","3.328403464946744","3.141133236921584","3.163956263823557","3.0746306065203943","3.050903479744683","3.151971157950503","3.0760722589855027","3.0649077997892267","3.1308558248790495","3.1553282460521883","3.205011550690255","3.1510791201765826","3.106181005753143","3.1589102337245087","3.105326917122533","3.022442913816713"
"Alabama","3.871487537341367","3.649872411543078","3.7046656639405233","3.7489419513489457","3.8446268479236925","3.9475611673527236","3.850232849676823","3.569508643819481","3.5186501915592983","3.392877997234846","3.3413240155854833","3.165805798887658","3.1768851042946964","3.2674935424730776","3.156219298449349","3.093318633904674","3.0318890198699933","3.0336615243362104","2.9353518454330407","2.9486141720815517","2.9675922406729716","2.9204365789830717","2.9429396582100895","2.996055558983824","2.965353953557309","2.874177411588829","2.88815428534687","2.9933769432332347","3.05694673733176","3.0046041688771368","3.012555486138288","2.982496013564366","2.924765275636554"
"Utah","2.1009695416835616","2.117154192123454","2.134918789689139","2.2543782902651","2.284411890582277","2.3800949580506083","2.4847295144103323","2.5457572197101235","2.549822533333353","2.5707275339733693","2.6548699169430003","2.6618199961071842","2.6520895867995207","2.5867287656855287","2.514740978543591","2.518561200060339","2.4388535523511217","2.5973510878151354","2.611720020855218","2.502930559582658","2.486499897645126","2.5318591867330484","2.633146584244056","2.5986681412895773","2.559897706116913","2.5431348521647887","2.5809723962404023","2.562444202332018","2.5480192244233733","2.633935102364662","2.747803094084289","2.6841457434601383","2.6011004883938194"
"Mississippi","2.946071629363784","2.935574894633571","2.982899014984751","3.153835370309462","3.1387153775540177","3.070359795985651","3.167720894341565","3.0139177440694955","2.969739185220422","2.872917478673355","2.743229805510471","2.747198269895653","2.7462973530041466","2.7540553083048676","2.68860790535684","2.79142009559821","2.52868283015174","2.51982918400999","2.501174483257791","2.484153594007863","2.5341148649502143","2.399613200304603","2.458554172948872","2.447469868446165","2.4773133033396526","2.4389107188072767","2.5418484309724727","2.431801404766688","2.3044909232467243","2.231645020917708","2.21276077076099","2.22404082856599","2.1834852475031576"
"Louisiana","2.302216672563186","2.19608956101341","2.112241375066134","2.2105964332261645","2.133994341908371","2.184924701350088","2.166510981843781","2.135893068874734","2.115888943793524","2.0676890827152596","2.059938585269704","1.9846523326435477","1.9600293232023667","1.9723223635502831","2.001498910350929","1.9904575838509204","1.9062944429105644","1.9557770584727534","2.0015108800807386","1.9962907833817893","1.907914348825162","1.7869342746217374","1.7515955884949148","1.7433320470970903","1.7345141240135757","1.7661436019477217","1.7051702838084744","1.716706668825444","1.7904767494331526","1.7347465293062754","1.7136733502260153","1.6813394931967838","1.6844022257307847"
"Nevada","1.1624915314339834","1.1994560666646585","1.2446849499808583","1.1964641923436363","1.1785474982894364","1.210000395928686","1.1919097614619072","1.2454941213570123","1.2335056699644917","1.1992910905086072","1.2275181150667311","1.2667590165309066","1.2238044114882631","1.245186900331812","1.2264275551674506","1.2125420714030204","1.2225116144752646","1.2168273516477337","1.2135058230469642","1.2122502061661742","1.2285155558872347","1.2298057497944799","1.2503328369256672","1.2095329894226827","1.1962721759045531","1.1469022282682995","1.1561337025498817","1.2003350924732834","1.2845915346992565","1.2959906993645998","1.3156023982379725","1.3011786533597722","1.279109983158922"
"Vermont","0.9586271506502573","0.9209420228309808","0.9099237764610989","0.965648778844062","0.9253335095988316","0.9346642072068443","0.9521402176953611","0.9530248597108659","1.0099817304194783","1.056298415720258","1.041058727322966","1.05555569752078","1.0575926253975036","1.0721791837150643","1.0355198539660408","1.0388747501018396","1.0306418462747085","1.0441625417694758","1.0537600815115007","1.0514127672087952","1.0270280054035468","1.066172755425671","1.0564849363490787","1.0964108216362263","1.1014394533545142","1.1288015255935897","1.1612091212719855","1.158182985907097","1.1683675105950524","1.1373624584464752","1.1264563472385354","1.1039036431790323","1.1065476457371481"
"South Carolina","1.4347194512830308","1.2946600013279819","1.3294111171868637","1.4143369809574726","1.3709097550021803","1.3737364352757773","1.3723276437700134","1.3704038877332543","1.3271424466226556","1.315661118481284","1.3307112440953917","1.3310463545226108","1.2696462322142419","1.2808196599053367","1.2867341408840627","1.305712393767144","1.2507826892752412","1.2569573329983066","1.1884175070246503","1.1556035176226223","1.1524443037007555","1.1217375276671582","1.0990473125290476","1.0293080494627334","1.059244952381793","1.0625458203003126","1.044520840778238","1.0241913085307124","1.0415338731071122","1.0587583042904947","0.9915701460035222","0.9248685093024849","0.8836140612029613"
"West Virginia","0.9396333579973846","0.984345156421942","1.0112181595808705","1.0047274838170142","1.0009533394356362","1.0168568049565698","0.9844694571588092","0.9243077223820958","0.9113997374644766","0.9072943966228424","0.8636162660609517","0.8364365917800142","0.8687623797283852","0.8489259188747771","0.8145771675215838","0.8504705406002033","0.8742998829662798","0.9144679261131156","0.8721407810636325","0.8787210500648425","0.8188759532790969","0.8221944981767718","0.8329806983693849","0.8502648280178159","0.8186851007860558","0.7932478771842618","0.8427684764945061","0.8575853114821119","0.8363718239538835","0.8105820432989306","0.8152999031761884","0.77648996676767","0.7658842506382005"
"Maryland","0.946798304696306","0.9522263258957895","0.9223411475848459","0.9639283354597343","0.9161191968229161","0.9208705413268687","0.8930487381976989","0.8338437077370265","0.8284648291254229","0.8369085780001502","0.8257469681451928","0.785382268517716","0.8155707701896013","0.7988330311708337","0.763076843717879","0.7788353268488838","0.7741271726624959","0.7534173337024946","0.7128267092093179","0.7126918815986378","0.7196235378989492","0.7268594407852713","0.7613647039820517","0.7131794720200924","0.6867749568134354","0.722925922664589","0.7397543562218281","0.7276833179635236","0.7469824280822814","0.7333675162980327","0.6950227266932261","0.6824403158842511","0.6612104706404163"
"Hawaii","0.49679714900052974","0.5238044584607864","0.4674851871120137","0.44625924738418377","0.42928958872054207","0.44378732007342725","0.41709396167940754","0.4227588988802079","0.435739111472274","0.4195882803423027","0.4099018371681764","0.37111839217766984","0.3654260615544253","0.372125879349536","0.36899899287578153","0.3653592162340616","0.37395140064180726","0.3592483943100957","0.33494769762765647","0.3378841648892476","0.32698515271496886","0.31968824913856403","0.31464190022517424","0.29817380439583563","0.2904064265745682","0.2893269548545191","0.30365089399173095","0.31011221007543216","0.31129768786571926","0.3001327382711241","0.2942451670887502","0.2970127985233408","0.3043639680097959"
"Maine","0.320734006651713","0.3223362004686221","0.3173294025177065","0.3284254740807146","0.3269850468545476","0.31245242419829056","0.3238123138456023","0.3242080149874331","0.3213156125001396","0.3258544873963395","0.3191247585547766","0.31796499051924143","0.3229194615115667","0.31329774695303036","0.30093285462006747","0.30600743045029377","0.3006177366480766","0.3019252763408173","0.3169576693139488","0.3176184891351248","0.316948003420382","0.31478882516323636","0.31302102880352023","0.3163887247892928","0.3107532553487859","0.3144091618725839","0.3169616012058975","0.3202514528626132","0.31672872436327437","0.3072479454732196","0.3095835585748894","0.2949358079310264","0.28633255186084106"
"Connecticut","0.25045188339649094","0.24448906886561678","0.2411133020058685","0.24882180369998494","0.24597372916337565","0.2436549102184738","0.23280992326693686","0.22428170745112408","0.23577395208921043","0.2368205333711544","0.23501693175157184","0.22750143993632188","0.22041110862288732","0.2086751888445998","0.19650931417293607","0.1987115213657515","0.19485650168372398","0.20055426385985242","0.19853938954255154","0.19824706380143153","0.19586115007818117","0.2015468308278422","0.20828610477607662","0.2097979168101077","0.20598202650114694","0.21625743641361977","0.22638025085986668","0.22465818554141348","0.2382973988857684","0.22508948904166048","0.23605569925369785","0.22734069916003435","0.22724705645893067"
"New Hampshire","0.1364481050198694","0.14327483564438656","0.1432610221731792","0.14517675697210208","0.14411255403592452","0.1440982323786014","0.1405892901523314","0.1376227485955578","0.14165853554172672","0.15149975198233478","0.15093169662711012","0.140968010279993","0.14258870770466348","0.14058723647324722","0.13154002044187185","0.13750748181020794","0.13839325213378179","0.13221271488941522","0.13904022843863367","0.14315398389179707","0.14141160280978932","0.14018341799671927","0.13444369997139893","0.13306412759137468","0.129939134732855","0.13244500913835053","0.1412875449625538","0.14023285943514785","0.13516597189381754","0.12874892274043645","0.12120434738619423","0.12038654215331879","0.11762744111894141"
"Delaware","0.13096542092661545","0.1349873758258264","0.14168634087265017","0.15128124399245707","0.14129320746604881","0.14422324506979203","0.1440603384610974","0.13966958170478275","0.14446022041896947","0.14611551399154465","0.14229647329117207","0.14632079957656058","0.14615201109128378","0.1446266736028486","0.1415991249101955","0.14057134907920815","0.13701389041822704","0.14046068551545662","0.13715442066969172","0.13497631758196624","0.13413609782847574","0.12413262754349869","0.12783990977709334","0.12605295504378128","0.13163016394144011","0.13712902496056664","0.14139167060718638","0.1441387238940936","0.14764600146320284","0.1397014413219437","0.1324633969780607","0.11920380575186161","0.1143287085383594"
"Massachusetts","0.23248588427976682","0.22553168023483028","0.2250351886988424","0.2244324052032598","0.21460487271083054","0.20748381934103688","0.20364630491302327","0.20318151820400132","0.20472106030070053","0.20035468959190483","0.1906139851751834","0.16861450177163256","0.17427046959760234","0.16879902691247978","0.15691250211291102","0.15603094893613637","0.15460793921546506","0.14932453256952058","0.15237265967777905","0.14826309439771787","0.14493355575124842","0.1356303737922351","0.13253811240160024","0.13054056253360014","0.12842292070155545","0.13120065329817515","0.12760770541473518","0.12049686116521868","0.1223291879735827","0.11507633527042538","0.10870742646833359","0.1124625871556188","0.11244900502095158"
